id,Speciality,Vacancy,Date,Date (Квартал),AvgSalary,salary_to,salary_from,salary_currency,employer_name,Year,area_name,Country
1,Аналитик,Analyst,07/02/21,1,110000,140000,80000,RUR,LATOKEN,2021,Москва,Russian Federation
2,Аналитик,Analyst,07/12/20,4,"","","","",evrone.ru,2020,Москва,Russian Federation
3,Аналитик,Analyst,15/11/20,4,"","","","",evrone.ru,2020,Москва,Russian Federation
4,Аналитик,Analyst (Big Data influencer marketing product),01/05/20,2,"","","","",WhoIsBlogger (WIB),2020,Москва,Russian Federation
5,Аналитик,Analyst (CI.External data and triggers),23/03/20,1,"","","","","ОТП Банк, АО (OTP bank)",2020,Москва,Russian Federation
6,Аналитик,Analyst (Operations),15/04/20,2,105000,150000,60000,RUR,LATOKEN,2020,Москва,Russian Federation
7,Аналитик,"Analyst (Аналитик, команда Клиентской аналитики, Корп.блок)",10/03/21,1,"","","","",Сбербанк,2021,Москва,Russian Federation
8,Аналитик,"Analyst (Аналитик, команда Клиентской аналитики, Корп.блок)",21/06/21,2,"","","","",Сбербанк,2021,Москва,Russian Federation
9,Аналитик,Analyst BI,25/11/21,4,"","","","",Криптериум,2021,Москва,Russian Federation
10,Аналитик,Analyst for Google consumer apps,30/03/21,1,"","","","",Media Direction Group,2021,Москва,Russian Federation
11,Аналитик,Analyst Mobile,11/12/20,4,110000,140000,80000,RUR,LATOKEN,2020,Москва,Russian Federation
12,Аналитик,Analyst Payments,11/11/20,4,110000,140000,80000,RUR,LATOKEN,2020,Москва,Russian Federation
13,Аналитик,"Analyst, команда 'Аналитика и AI'",20/04/21,2,"","","","",Сбербанк,2021,Москва,Russian Federation
14,Аналитик,Application Security Analyst (Аналитик по безопасности приложений),02/09/20,3,"","","","",Luxoft,2020,Санкт-Петербург,Russian Federation
15,Аналитик,Application Security Analyst Intern,01/09/20,3,"","","","",Luxoft,2020,Санкт-Петербург,Russian Federation
16,Аналитик,Application Support Analyst (Bioinformatics),11/05/20,2,"","","","",Дженстек,2020,Санкт-Петербург,Russian Federation
17,Аналитик,Application Support Analyst (Bioinformatics),10/04/20,2,"","","","",Дженстек,2020,Санкт-Петербург,Russian Federation
18,Аналитик,"B2B Data Scientist (Python, SQL)",11/05/21,2,"","","","",HEINEKEN Russia,2021,Москва,Russian Federation
19,Аналитик,BI analyst/ Data analyst,14/12/20,4,"","","","",InsightWhale,2020,Екатеринбург,Russian Federation
20,Аналитик,BI analyst/ Data analyst,17/03/21,1,"","","","",InsightWhale,2021,Армения,Armenia
21,Аналитик,BI аналитик,30/08/20,3,"","","","",inDriver,2020,Москва,Russian Federation
22,Аналитик,BI аналитик,11/01/21,1,"","","","",Делориан Медиа,2021,Санкт-Петербург,Russian Federation
23,Аналитик,BI аналитик,26/05/21,2,"","","","",МТС,2021,Москва,Russian Federation
24,Аналитик,BI аналитик,12/11/21,4,150000,150000,"",RUR,Diamond Personnel R&C,2021,Москва,Russian Federation
25,Аналитик,BI аналитик (Tableau),11/09/20,3,125000,150000,100000,RUR,Руформ,2020,Москва,Russian Federation
26,Аналитик,BI аналитик (Tableau),16/03/20,1,"","","","",Руформ,2020,Москва,Russian Federation
